SMILES,P(active),stereo_SMILES
CC1=NN(CC2(CN)CC2)C(C)=C1,0.034162212409946546,CC1=NN(CC2(CN)CC2)C(C)=C1
CC1=NN(CCCN)C(C)=C1,0.02664465927847206,CC1=NN(CCCN)C(C)=C1
CC1=NN(CCCN)C(C)=C1Cl,0.056107134610944354,CC1=NN(CCCN)C(C)=C1Cl
CC1=NN2C=C(CN)N=C2S1,0.05859010270774977,CC1=NN2C=C(CN)N=C2S1
CC1=NOC(C)=C1CCCN,0.03533138401559454,CC1=NOC(C)=C1CCCN
CC1=NOC(CN)=C1,0.03516856657773466,CC1=NOC(CN)=C1
CC1=NOC(CN)=N1,0.04808414725770098,CC1=NOC(CN)=N1
CC1CCCN(CCCN)C1,0.0028625954198473282,C[C@H]1CCCN(C1)CCCN
CC1CCN(CCCN)CC1,0.010721944245889922,CC1CCN(CCCN)CC1
CCC(C(=O)O)N,0.005150391429748661,CC[C@H](C(=O)O)N
CCC(CC)CN,0.059294117647058824,CCC(CC)CN
CCC(CN)N1CCCCC1,0.006616257088846881,CC[C@@H](CN)N1CCCCC1
CCC1=C(C)N(CCN)N=C1C,0.0502283105022831,CCC1=C(C)N(CCN)N=C1C
CCC1=CC=C(CN)C=C1,0.1923249551166966,CCC1=CC=C(CN)C=C1
CCC1=CSC(CN)=N1,0.05971541870772102,CCC1=CSC(CN)=N1
CCC1=NC=CN1CCCN,0.0079031859718449,CCC1=NC=CN1CCCN
CCC1=NOC(CCN)=N1,0.02655275917801893,CCC1=NOC(CCN)=N1
CCC1=NOC(CN)=C1,0.06841236140599198,CCC1=NOC(CN)=C1
CCCC(C(=O)O)N,0.006918238993710692,CCC[C@@H](C(=O)O)N
CCCC1=C(CN)C(=O)[NH]C(C)=C1,0.03799217131015427,CCCC1=C(CN)C(=O)[NH]C(C)=C1
CCCC1=NC(CN)=CS1,0.11100853911839373,CCCC1=NC(CN)=CS1
CCCC1=NOC(CN)=C1,0.16923076923076924,CCCC1=NOC(CN)=C1
CCCCC(C(=O)O)N,0.010790620460676489,CCCC[C@H](C(=O)O)N
CCCCCCCN,0.1413540713632205,CCCCCCCN
CCCCCCN,0.07844506517690875,CCCCCCN
CCCCCN,0.0380952380952381,CCCCCN
CCCCN(CC)CCN,0.0045684058667949026,CCCCN(CC)CCN
CCCCN(CCCC)CCCN,0.01330166270783848,CCCCN(CCCC)CCCN
CCCCN(CCN)CCCC,0.009170105456212746,CCCCN(CCN)CCCC
CCCCN1CCC(CN)CC1,0.008206613565049481,CCCCN1CCC(CN)CC1
CCCC[C@@H](C(=O)O)N,0.002939520920632935,CCCC[C@@H](C(=O)O)N
CCCC[C@@H](C(=O)O)NC,0.01342123852130916,CCCC[C@@H](C(=O)O)NC
CCCC[C@H](C(=O)O)N,0.003941441441441441,CCCC[C@H](C(=O)O)N
CCCN1CCC(CCN)CC1,0.015929624346172136,CCCN1CCC(CCN)CC1
CCCN1CCCC(CN)C1,0.010004880429477794,CCCN1CCC[C@H](C1)CN
CCCOCCN,0.032520325203252036,CCCOCCN
CCC[C@@H](C(=O)O)N,0.005758946935417524,CCC[C@@H](C(=O)O)N
CCC[C@@H](C(=O)O)NC,0.005005688282138794,CCC[C@@H](C(=O)O)NC
CCC[C@H](C(=O)O)N,0.0023693727397431103,CCC[C@H](C(=O)O)N
CCN(CC)CCCN,0.003958090803259604,CCN(CC)CCCN
CCN(CC)CCN,0.0023618327822390174,CCN(CC)CCN
CCN1CCN(CCCN)CC1,0.00980392156862745,CCN1CCN(CCCN)CC1
CCN1CCN(CCN)CC1,0.011636363636363636,CCN1CCN(CCN)CC1
CCNCC(=O)O,0.0,CCNCC(=O)O
CCOC1=C(OCC)C=C(CCN)C=C1,0.0440791041219919,CCOC1=C(OCC)C=C(CCN)C=C1
CCOC1=C(OCCN)C=CC=C1,0.09701492537313433,CCOC1=C(OCCN)C=CC=C1
CCOC1=CC=CC(CCN)=C1,0.06320596010574381,CCOC1=CC=CC(CCN)=C1
CCOC1=NC=C(CN)C=C1,0.18914027149321266,CCOC1=NC=C(CN)C=C1
CCOCCCN,0.016617345777373095,CCOCCCN
CCOc1ccc(cc1)C[C@@H](C(=O)O)N,0.006877311360539804,CCOc1ccc(cc1)C[C@@H](C(=O)O)N
CCOc1ccc(cc1)C[C@H](C(=O)O)N,0.03178220955998734,CCOc1ccc(cc1)C[C@H](C(=O)O)N
CCS(=O)(=O)CCN,0.016993776926759217,CCS(=O)(=O)CCN
CC[C@@H](C(=O)O)N,0.00148864905098623,CC[C@@H](C(=O)O)N
CC[C@@H]1CC[C@@H](CN1)C(=O)O,0.0001833348611238427,CC[C@@H]1CC[C@@H](CN1)C(=O)O
CC[C@H](C(=O)O)N,0.0016416214168455613,CC[C@H](C(=O)O)N
CC[C@H](C)[C@@H](C(=O)O)N,0.00311587147030185,CC[C@H](C)[C@@H](C(=O)O)N
CC[C@H](C)[C@H](C(=O)O)N,0.003459119496855346,CC[C@H](C)[C@H](C(=O)O)N
CCc1ccc(cc1)C(CC(=O)O)N,0.004978573229140408,CCc1ccc(cc1)[C@@H](CC(=O)O)N
CCc1cn(nc1C2CCNCC2)CC(=O)O,0.0003544528134692069,CCc1cn(nc1C2CCNCC2)CC(=O)O
CCc1nc(c(o1)C2CCNCC2)C(=O)O,0.00072720661758022,CCc1nc(c(o1)C2CCNCC2)C(=O)O
CN(C)C(=O)C1=CC=CC(CN)=C1,0.044848484848484846,CN(C)C(=O)C1=CC=CC(CN)=C1
CN(C)C(CN)C1=CC=CO1,0.05344619105199516,CN(C)[C@H](CN)c1ccco1
CN(C)C(CN)C1=CN=CC=C1,0.054481546572934976,CN(C)[C@H](CN)c1cccnc1
CN(C)C1=C(CN)C=CC=N1,0.043799095453463464,CN(C)C1=C(CN)C=CC=N1
CN(C)CC1=CC=C(CN)C=C1,0.049516908212560384,CN(C)CC1=CC=C(CN)C=C1
CN(C)CCCCCN,0.018714602314700814,CN(C)CCCCCN
CN(C)CCCN,0.00914560770156438,CN(C)CCCN
CN(C)CCN,0.03025328330206379,CN(C)CCN
CN(C)CCOC1=C(CN)C=CC=C1,0.018662142510906445,CN(C)CCOC1=C(CN)C=CC=C1
CN(C)S(=O)(=O)C1=CC=C(CN)C=C1,0.452770656675212,CN(C)S(=O)(=O)C1=CC=C(CN)C=C1
CN(C)S(=O)(=O)CCN,0.025940640336527227,CN(C)S(=O)(=O)CCN
CN(C)[C@@H]1CCCC[C@@H]1N,0.004356243949661181,CN(C)[C@@H]1CCCC[C@@H]1N
CN(C)[C@@H]1CCCC[C@H]1N,0.0037426900584795323,CN(C)[C@@H]1CCCC[C@H]1N
CN(C)[C@@H]1CCC[C@H]1N,0.004089487611258119,CN(C)[C@@H]1CCC[C@H]1N
CN(C)c1ccc(cc1)C[C@@H](C(=O)O)N,0.008523277587654162,CN(C)c1ccc(cc1)C[C@@H](C(=O)O)N
CN(C)c1ccc(cc1)C[C@H](C(=O)O)N,0.0034132841328413286,CN(C)c1ccc(cc1)C[C@H](C(=O)O)N
CN(CCN)C1CCCCC1,0.006305464736104624,CN(CCN)C1CCCCC1
CN1C=C(CCCN)C=N1,0.02482022732544653,CN1C=C(CCCN)C=N1
CN1C=C(CN)C(C(F)(F)F)=N1,0.03709021296960995,CN1C=C(CN)C(C(F)(F)F)=N1
CN1C=CN=C1CN,0.00793459966338062,CN1C=CN=C1CN
CN1C=CN=C1SCCN,0.02888086642599278,CN1C=CN=C1SCCN
CN1C=NC=C1CN,0.03872330438864116,CN1C=NC=C1CN
CN1CCC(CN)C1,0.05968045112781955,CN1CC[C@H](C1)CN
CN1CCC(N)C1,0.010884997633696167,CN1CC[C@H](C1)N
CN1CCC(O)(CCN)CC1,0.03307481751824817,CN1CCC(O)(CCN)CC1
CN1CCCC(CN)C1,0.0040198628517379995,CN1CCC[C@@H](C1)CN
CN1CCN(C2=CC=CC(CN)=C2)CC1,0.02455795677799607,CN1CCN(C2=CC=CC(CN)=C2)CC1
CN1CCN(CCCN)CC1,0.038396522579087176,CN1CCN(CCCN)CC1
CN1CCN(CCN)CC1,0.01828241520327159,CN1CCN(CCN)CC1
CN1CCOC(CN)C1,0.005659042678613535,CN1CCO[C@@H](C1)CN
CN1N=C(C2=CC=CC=C2)C=C1CN,0.17787709497206705,CN1N=C(C2=CC=CC=C2)C=C1CN
CN1N=CC=C1C1=CC=CC(CN)=C1,0.06088992974238876,CN1N=CC=C1C1=CC=CC(CN)=C1
CN1N=CC=C1CN,0.024156900263094954,CN1N=CC=C1CN
CN1c2cc(ccc2OC[C@H](C1=O)N)C(=O)O,0.0005463485703879075,CN1c2cc(ccc2OC[C@H](C1=O)N)C(=O)O
CN1c2ccc(cc2OC[C@@H](C1=O)N)C(=O)O,0.0009746588693957114,CN1c2ccc(cc2OC[C@@H](C1=O)N)C(=O)O
CNCC(=O)O,0.0018548574078367725,CNCC(=O)O
CNCCC(=O)O,0.0,CNCCC(=O)O
CNCCCC(=O)O,0.0021087160262417996,CNCCCC(=O)O
CNCc1ccc(cc1)C(=O)O,0.016613563950842056,CNCc1ccc(cc1)C(=O)O
CN[C@@H](c1ccccc1)C(=O)O,8.98391878537418e-05,CN[C@@H](c1ccccc1)C(=O)O
CN[C@H](Cc1ccc(cc1)OCc2ccccc2)C(=O)O,0.0009982757055994192,CN[C@H](Cc1ccc(cc1)OCc2ccccc2)C(=O)O
COC(CN)C1=CC=CS1,0.04646882907752473,CO[C@@H](CN)c1cccs1
COC1=C(C(F)(F)F)C=C(CN)C=C1,0.29933527212297467,COC1=C(C(F)(F)F)C=C(CN)C=C1
